Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
2512,Getting the Nod: Characterizing pediatric head motion in movie- and resting-state fMRI.,Simon Frew,,20210622,80000,20210622,100000,poster2512,EuropeAsia,Poster,,poster2512EuropeAsia
2490,Graph Theory Analysis of Structural Connectivity Reveals Altered Network Topology in HIV Infection,Alan Finkelstein,,20210625,160000,20210625,170000,poster2490,AmericasEurope,Poster,,poster2490AmericasEurope
2490,Graph Theory Analysis of Structural Connectivity Reveals Altered Network Topology in HIV Infection,Alan Finkelstein,,20210622,0,20210622,10000,poster2490,AmericasAsia,Poster,,poster2490AmericasAsia
2490,Graph Theory Analysis of Structural Connectivity Reveals Altered Network Topology in HIV Infection,Alan Finkelstein,,20210624,80000,20210624,100000,poster2490,EuropeAsia,Poster,,poster2490EuropeAsia
1169,Greater impulsivity is associated with abnormality of executive control network in obese patients,Wenchao Zhang,,20210622,160000,20210622,170000,poster1169,AmericasEurope,Poster,,poster1169AmericasEurope
1169,Greater impulsivity is associated with abnormality of executive control network in obese patients,Wenchao Zhang,,20210626,0,20210626,10000,poster1169,AmericasAsia,Poster,,poster1169AmericasAsia
1169,Greater impulsivity is associated with abnormality of executive control network in obese patients,Wenchao Zhang,,20210624,80000,20210624,100000,poster1169,EuropeAsia,Poster,,poster1169EuropeAsia
1102,Grounding adaptive cognitive control in the functional brain organization: a resting state EEG study,Gian Marco Duma,,20210622,160000,20210622,170000,poster1102,AmericasEurope,Poster,,poster1102AmericasEurope
1102,Grounding adaptive cognitive control in the functional brain organization: a resting state EEG study,Gian Marco Duma,,20210626,0,20210626,10000,poster1102,AmericasAsia,Poster,,poster1102AmericasAsia
1102,Grounding adaptive cognitive control in the functional brain organization: a resting state EEG study,Gian Marco Duma,,20210624,80000,20210624,100000,poster1102,EuropeAsia,Poster,,poster1102EuropeAsia
1499,Hair Glucocorticoid Associations with Brain Structure in Major Depressive Disorder,Claire Green,,20210623,160000,20210623,170000,poster1499,AmericasEurope,Poster,,poster1499AmericasEurope
1499,Hair Glucocorticoid Associations with Brain Structure in Major Depressive Disorder,Claire Green,,20210626,0,20210626,10000,poster1499,AmericasAsia,Poster,,poster1499AmericasAsia
1499,Hair Glucocorticoid Associations with Brain Structure in Major Depressive Disorder,Claire Green,,20210622,80000,20210622,100000,poster1499,EuropeAsia,Poster,,poster1499EuropeAsia
2080,Harmonic Removal Regression (HarmoRemo): a novel method for removing harmonic components in M/EEG,Mina Jamshidi Idaji,,20210625,160000,20210625,170000,poster2080,AmericasEurope,Poster,,poster2080AmericasEurope
2080,Harmonic Removal Regression (HarmoRemo): a novel method for removing harmonic components in M/EEG,Mina Jamshidi Idaji,,20210622,0,20210622,10000,poster2080,AmericasAsia,Poster,,poster2080AmericasAsia
2080,Harmonic Removal Regression (HarmoRemo): a novel method for removing harmonic components in M/EEG,Mina Jamshidi Idaji,,20210624,80000,20210624,100000,poster2080,EuropeAsia,Poster,,poster2080EuropeAsia
1069,Heterogeneous age dependency in the human superior longitudinal fasciculus,Kaoru Amemiya,,20210624,160000,20210624,170000,poster1069,AmericasEurope,Poster,,poster1069AmericasEurope
1069,Heterogeneous age dependency in the human superior longitudinal fasciculus,Kaoru Amemiya,,20210624,0,20210624,10000,poster1069,AmericasAsia,Poster,,poster1069AmericasAsia
1069,Heterogeneous age dependency in the human superior longitudinal fasciculus,Kaoru Amemiya,,20210622,80000,20210622,100000,poster1069,EuropeAsia,Poster,,poster1069EuropeAsia
1454,High Associations Between Brain and Distractor Suppression Ability Across High-WMC Individuals,Ke Xie,,20210622,160000,20210622,170000,poster1454,AmericasEurope,Poster,,poster1454AmericasEurope
1454,High Associations Between Brain and Distractor Suppression Ability Across High-WMC Individuals,Ke Xie,,20210626,0,20210626,10000,poster1454,AmericasAsia,Poster,,poster1454AmericasAsia
1454,High Associations Between Brain and Distractor Suppression Ability Across High-WMC Individuals,Ke Xie,,20210624,80000,20210624,100000,poster1454,EuropeAsia,Poster,,poster1454EuropeAsia
1882,High test-retest reliability of the human functional connectome over 1.5 years,Maximilian Lueckel,,20210625,160000,20210625,170000,poster1882,AmericasEurope,Poster,,poster1882AmericasEurope
1882,High test-retest reliability of the human functional connectome over 1.5 years,Maximilian Lueckel,,20210622,0,20210622,10000,poster1882,AmericasAsia,Poster,,poster1882AmericasAsia
1882,High test-retest reliability of the human functional connectome over 1.5 years,Maximilian Lueckel,,20210624,80000,20210624,100000,poster1882,EuropeAsia,Poster,,poster1882EuropeAsia
2200,High-resolution hippocampal subfield volumes in Multiple Sclerosis,Katherine Koenig,,20210621,160000,20210621,170000,poster2200,AmericasEurope,Poster,,poster2200AmericasEurope
2200,High-resolution hippocampal subfield volumes in Multiple Sclerosis,Katherine Koenig,,20210623,0,20210623,10000,poster2200,AmericasAsia,Poster,,poster2200AmericasAsia
2200,High-resolution hippocampal subfield volumes in Multiple Sclerosis,Katherine Koenig,,20210624,80000,20210624,100000,poster2200,EuropeAsia,Poster,,poster2200EuropeAsia
1729,Identifying Sources of Software-dependent Differences in Task fMRI Analyses,Alexander Bowring,,20210623,160000,20210623,170000,poster1729,AmericasEurope,Poster,,poster1729AmericasEurope
1729,Identifying Sources of Software-dependent Differences in Task fMRI Analyses,Alexander Bowring,,20210625,0,20210625,10000,poster1729,AmericasAsia,Poster,,poster1729AmericasAsia
1729,Identifying Sources of Software-dependent Differences in Task fMRI Analyses,Alexander Bowring,,20210622,80000,20210622,100000,poster1729,EuropeAsia,Poster,,poster1729EuropeAsia
1916,Impact of Polygenic Risk Score on Normative Models of Hippocampal Volumes,Mohammed Janahi,,20210624,160000,20210624,170000,poster1916,AmericasEurope,Poster,,poster1916AmericasEurope
1916,Impact of Polygenic Risk Score on Normative Models of Hippocampal Volumes,Mohammed Janahi,,20210624,0,20210624,10000,poster1916,AmericasAsia,Poster,,poster1916AmericasAsia
1916,Impact of Polygenic Risk Score on Normative Models of Hippocampal Volumes,Mohammed Janahi,,20210622,80000,20210622,100000,poster1916,EuropeAsia,Poster,,poster1916EuropeAsia
2133,Improving g-ratio mapping by a principled 3-point calibration,Mohammad Ashtarayeh,,20210625,160000,20210625,170000,poster2133,AmericasEurope,Poster,,poster2133AmericasEurope
2133,Improving g-ratio mapping by a principled 3-point calibration,Mohammad Ashtarayeh,,20210623,0,20210623,10000,poster2133,AmericasAsia,Poster,,poster2133AmericasAsia
2133,Improving g-ratio mapping by a principled 3-point calibration,Mohammad Ashtarayeh,,20210624,80000,20210624,100000,poster2133,EuropeAsia,Poster,,poster2133EuropeAsia
1287,In vivo human MRI at 0.35 mm reveals up to 15 ms T2* changes within gray matter across depths at 7T,Omer Faruk Gulban,,20210625,160000,20210625,170000,poster1287,AmericasEurope,Poster,,poster1287AmericasEurope
1287,In vivo human MRI at 0.35 mm reveals up to 15 ms T2* changes within gray matter across depths at 7T,Omer Faruk Gulban,,20210623,0,20210623,10000,poster1287,AmericasAsia,Poster,,poster1287AmericasAsia
1287,In vivo human MRI at 0.35 mm reveals up to 15 ms T2* changes within gray matter across depths at 7T,Omer Faruk Gulban,,20210624,80000,20210624,100000,poster1287,EuropeAsia,Poster,,poster1287EuropeAsia
1459,Individual differences in antisaccade cost are related to precentral gyrus,Donggang Jin,,20210622,160000,20210622,170000,poster1459,AmericasEurope,Poster,,poster1459AmericasEurope
1459,Individual differences in antisaccade cost are related to precentral gyrus,Donggang Jin,,20210626,0,20210626,10000,poster1459,AmericasAsia,Poster,,poster1459AmericasAsia
1459,Individual differences in antisaccade cost are related to precentral gyrus,Donggang Jin,,20210624,80000,20210624,100000,poster1459,EuropeAsia,Poster,,poster1459EuropeAsia
1943,Individual variability of microstructural-functional coupling in the human cortex,Raihaan Patel,,20210623,160000,20210623,170000,poster1943,AmericasEurope,Poster,,poster1943AmericasEurope
1943,Individual variability of microstructural-functional coupling in the human cortex,Raihaan Patel,,20210625,0,20210625,10000,poster1943,AmericasAsia,Poster,,poster1943AmericasAsia
1943,Individual variability of microstructural-functional coupling in the human cortex,Raihaan Patel,,20210622,80000,20210622,100000,poster1943,EuropeAsia,Poster,,poster1943EuropeAsia
1636,InLang: unraveling the functional attributes of the language connectome,Elise ROGER,,20210624,160000,20210624,170000,poster1636,AmericasEurope,Poster,,poster1636AmericasEurope
1636,InLang: unraveling the functional attributes of the language connectome,Elise ROGER,,20210622,0,20210622,10000,poster1636,AmericasAsia,Poster,,poster1636AmericasAsia
1636,InLang: unraveling the functional attributes of the language connectome,Elise ROGER,,20210622,80000,20210622,100000,poster1636,EuropeAsia,Poster,,poster1636EuropeAsia
2288,Interleaved acquisition of GABA and BOLD fluctuations in a clinical 3T MRI system: a phantom study,Laura Beghini,,20210625,160000,20210625,170000,poster2288,AmericasEurope,Poster,,poster2288AmericasEurope
2288,Interleaved acquisition of GABA and BOLD fluctuations in a clinical 3T MRI system: a phantom study,Laura Beghini,,20210625,0,20210625,10000,poster2288,AmericasAsia,Poster,,poster2288AmericasAsia
2288,Interleaved acquisition of GABA and BOLD fluctuations in a clinical 3T MRI system: a phantom study,Laura Beghini,,20210622,80000,20210622,100000,poster2288,EuropeAsia,Poster,,poster2288EuropeAsia
1854,Intra- and inter-session reproducibility of artificial scotoma pRF mapping at ultra-high fields,David Linhardt,,20210624,160000,20210624,170000,poster1854,AmericasEurope,Poster,,poster1854AmericasEurope
1854,Intra- and inter-session reproducibility of artificial scotoma pRF mapping at ultra-high fields,David Linhardt,,20210626,0,20210626,10000,poster1854,AmericasAsia,Poster,,poster1854AmericasAsia
1854,Intra- and inter-session reproducibility of artificial scotoma pRF mapping at ultra-high fields,David Linhardt,,20210622,80000,20210622,100000,poster1854,EuropeAsia,Poster,,poster1854EuropeAsia
1104,Investigating Brain States within Eyes Open / Eyes Closed rs-fMRI with Hidden Markov Modelling,Brandon Ingram,,20210624,160000,20210624,170000,poster1104,AmericasEurope,Poster,,poster1104AmericasEurope
1104,Investigating Brain States within Eyes Open / Eyes Closed rs-fMRI with Hidden Markov Modelling,Brandon Ingram,,20210626,0,20210626,10000,poster1104,AmericasAsia,Poster,,poster1104AmericasAsia
1104,Investigating Brain States within Eyes Open / Eyes Closed rs-fMRI with Hidden Markov Modelling,Brandon Ingram,,20210622,80000,20210622,100000,poster1104,EuropeAsia,Poster,,poster1104EuropeAsia
1768,Investigating the inter-subject and spatial variability of physiological response functions in fMRI,Laura Carlton,,20210624,160000,20210624,170000,poster1768,AmericasEurope,Poster,,poster1768AmericasEurope
1768,Investigating the inter-subject and spatial variability of physiological response functions in fMRI,Laura Carlton,,20210626,0,20210626,10000,poster1768,AmericasAsia,Poster,,poster1768AmericasAsia
1768,Investigating the inter-subject and spatial variability of physiological response functions in fMRI,Laura Carlton,,20210622,80000,20210622,100000,poster1768,EuropeAsia,Poster,,poster1768EuropeAsia
2135,Is it possible to modulate locus coeruleus activity via volitional control of pupil diameter?,Sarah Meissner,,20210622,160000,20210622,170000,poster2135,AmericasEurope,Poster,,poster2135AmericasEurope
2135,Is it possible to modulate locus coeruleus activity via volitional control of pupil diameter?,Sarah Meissner,,20210626,0,20210626,10000,poster2135,AmericasAsia,Poster,,poster2135AmericasAsia
2135,Is it possible to modulate locus coeruleus activity via volitional control of pupil diameter?,Sarah Meissner,,20210624,80000,20210624,100000,poster2135,EuropeAsia,Poster,,poster2135EuropeAsia
1690,Large Lesion Brain Alignment with AFNI,Daniel Glen,,20210623,160000,20210623,170000,poster1690,AmericasEurope,Poster,,poster1690AmericasEurope
1690,Large Lesion Brain Alignment with AFNI,Daniel Glen,,20210625,0,20210625,10000,poster1690,AmericasAsia,Poster,,poster1690AmericasAsia
1690,Large Lesion Brain Alignment with AFNI,Daniel Glen,,20210622,80000,20210622,100000,poster1690,EuropeAsia,Poster,,poster1690EuropeAsia
1481,Learning to predict Cutting Angles from Histological Human Brain Sections,Christian Schiffer,,20210623,160000,20210623,170000,poster1481,AmericasEurope,Poster,,poster1481AmericasEurope
1481,Learning to predict Cutting Angles from Histological Human Brain Sections,Christian Schiffer,,20210625,0,20210625,10000,poster1481,AmericasAsia,Poster,,poster1481AmericasAsia
1481,Learning to predict Cutting Angles from Histological Human Brain Sections,Christian Schiffer,,20210622,80000,20210622,100000,poster1481,EuropeAsia,Poster,,poster1481EuropeAsia
1285,Linking callosal structure to uni- and bilateral motor task performance in younger and older adults,Nora Bittner,,20210623,160000,20210623,170000,poster1285,AmericasEurope,Poster,,poster1285AmericasEurope
1285,Linking callosal structure to uni- and bilateral motor task performance in younger and older adults,Nora Bittner,,20210625,0,20210625,10000,poster1285,AmericasAsia,Poster,,poster1285AmericasAsia
1285,Linking callosal structure to uni- and bilateral motor task performance in younger and older adults,Nora Bittner,,20210622,80000,20210622,100000,poster1285,EuropeAsia,Poster,,poster1285EuropeAsia
1640,Linking Individual Differences in Personalized Functional Topography to Psychopathology in Youth,ZAIXU Cui,,20210625,160000,20210625,170000,poster1640,AmericasEurope,Poster,,poster1640AmericasEurope
1640,Linking Individual Differences in Personalized Functional Topography to Psychopathology in Youth,ZAIXU Cui,,20210623,0,20210623,10000,poster1640,AmericasAsia,Poster,,poster1640AmericasAsia
1640,Linking Individual Differences in Personalized Functional Topography to Psychopathology in Youth,ZAIXU Cui,,20210624,80000,20210624,100000,poster1640,EuropeAsia,Poster,,poster1640EuropeAsia
1106,Localization of hypothalamic nuclei using resting-state functional connectivity in standard voxels,Akitoshi Ogawa,,20210625,160000,20210625,170000,poster1106,AmericasEurope,Poster,,poster1106AmericasEurope
1106,Localization of hypothalamic nuclei using resting-state functional connectivity in standard voxels,Akitoshi Ogawa,,20210622,0,20210622,10000,poster1106,AmericasAsia,Poster,,poster1106AmericasAsia
1106,Localization of hypothalamic nuclei using resting-state functional connectivity in standard voxels,Akitoshi Ogawa,,20210624,80000,20210624,100000,poster1106,EuropeAsia,Poster,,poster1106EuropeAsia
1727,Longitudinal and cross-sectional analyses of white matter changes in the healthy aging population,Maria Leonora Fatimah Agan,,20210624,160000,20210624,170000,poster1727,AmericasEurope,Poster,,poster1727AmericasEurope
1727,Longitudinal and cross-sectional analyses of white matter changes in the healthy aging population,Maria Leonora Fatimah Agan,,20210624,0,20210624,10000,poster1727,AmericasAsia,Poster,,poster1727AmericasAsia
1727,Longitudinal and cross-sectional analyses of white matter changes in the healthy aging population,Maria Leonora Fatimah Agan,,20210622,80000,20210622,100000,poster1727,EuropeAsia,Poster,,poster1727EuropeAsia
1558,Longitudinal changes in structural connectivity in young people at high risk of bipolar disorder,Alistair Perry,,20210625,160000,20210625,170000,poster1558,AmericasEurope,Poster,,poster1558AmericasEurope
1558,Longitudinal changes in structural connectivity in young people at high risk of bipolar disorder,Alistair Perry,,20210622,0,20210622,10000,poster1558,AmericasAsia,Poster,,poster1558AmericasAsia
1558,Longitudinal changes in structural connectivity in young people at high risk of bipolar disorder,Alistair Perry,,20210624,80000,20210624,100000,poster1558,EuropeAsia,Poster,,poster1558EuropeAsia
2236,Longitudinal White Matter Development in Young Children with Prenatal Alcohol Exposure,Preeti Kar,,20210622,160000,20210622,170000,poster2236,AmericasEurope,Poster,,poster2236AmericasEurope
2236,Longitudinal White Matter Development in Young Children with Prenatal Alcohol Exposure,Preeti Kar,,20210622,0,20210622,10000,poster2236,AmericasAsia,Poster,,poster2236AmericasAsia
2236,Longitudinal White Matter Development in Young Children with Prenatal Alcohol Exposure,Preeti Kar,,20210624,80000,20210624,100000,poster2236,EuropeAsia,Poster,,poster2236EuropeAsia
1530,Looking Across Multimodal MRI QC Measures in NKI-Rockland Pediatric Longitudinal Sample,Ryan Lim,,20210623,160000,20210623,170000,poster1530,AmericasEurope,Poster,,poster1530AmericasEurope
1530,Looking Across Multimodal MRI QC Measures in NKI-Rockland Pediatric Longitudinal Sample,Ryan Lim,,20210625,0,20210625,10000,poster1530,AmericasAsia,Poster,,poster1530AmericasAsia
1530,Looking Across Multimodal MRI QC Measures in NKI-Rockland Pediatric Longitudinal Sample,Ryan Lim,,20210622,80000,20210622,100000,poster1530,EuropeAsia,Poster,,poster1530EuropeAsia
2284,Magnetic Resonance-guided Focused Ultrasound (MRgFUS) Lesioning of the VIM: A Multimodal MRI Study,Neeraj Upadhyay,,20210621,160000,20210621,170000,poster2284,AmericasEurope,Poster,,poster2284AmericasEurope
2284,Magnetic Resonance-guided Focused Ultrasound (MRgFUS) Lesioning of the VIM: A Multimodal MRI Study,Neeraj Upadhyay,,20210626,0,20210626,10000,poster2284,AmericasAsia,Poster,,poster2284AmericasAsia
2284,Magnetic Resonance-guided Focused Ultrasound (MRgFUS) Lesioning of the VIM: A Multimodal MRI Study,Neeraj Upadhyay,,20210624,80000,20210624,100000,poster2284,EuropeAsia,Poster,,poster2284EuropeAsia
1744,Mapping cerebral abnormalities using texture analysis in ALS with T2-FLAIR MRI: a multicenter study,Andrew Wu,,20210621,160000,20210621,170000,poster1744,AmericasEurope,Poster,,poster1744AmericasEurope
1744,Mapping cerebral abnormalities using texture analysis in ALS with T2-FLAIR MRI: a multicenter study,Andrew Wu,,20210623,0,20210623,10000,poster1744,AmericasAsia,Poster,,poster1744AmericasAsia
1744,Mapping cerebral abnormalities using texture analysis in ALS with T2-FLAIR MRI: a multicenter study,Andrew Wu,,20210624,80000,20210624,100000,poster1744,EuropeAsia,Poster,,poster1744EuropeAsia
1206,Mapping neurotransmitter receptor distributions to the connectivity and dynamics of the human brain,Justine Hansen,,20210625,160000,20210625,170000,poster1206,AmericasEurope,Poster,,poster1206AmericasEurope
1206,Mapping neurotransmitter receptor distributions to the connectivity and dynamics of the human brain,Justine Hansen,,20210625,0,20210625,10000,poster1206,AmericasAsia,Poster,,poster1206AmericasAsia
1206,Mapping neurotransmitter receptor distributions to the connectivity and dynamics of the human brain,Justine Hansen,,20210622,80000,20210622,100000,poster1206,EuropeAsia,Poster,,poster1206EuropeAsia
1614,Mapping primate brains across species via common sulci: A sulcal-based surface mapping approach,Kep Kee Loh,,20210623,160000,20210623,170000,poster1614,AmericasEurope,Poster,,poster1614AmericasEurope
1614,Mapping primate brains across species via common sulci: A sulcal-based surface mapping approach,Kep Kee Loh,,20210625,0,20210625,10000,poster1614,AmericasAsia,Poster,,poster1614AmericasAsia
1614,Mapping primate brains across species via common sulci: A sulcal-based surface mapping approach,Kep Kee Loh,,20210622,80000,20210622,100000,poster1614,EuropeAsia,Poster,,poster1614EuropeAsia
1695,Mapping subcortical functional connectome of the default mode network for targeted neuromodulation,Jian Li,,20210622,160000,20210622,170000,poster1695,AmericasEurope,Poster,,poster1695AmericasEurope
1695,Mapping subcortical functional connectome of the default mode network for targeted neuromodulation,Jian Li,,20210622,0,20210622,10000,poster1695,AmericasAsia,Poster,,poster1695AmericasAsia
1695,Mapping subcortical functional connectome of the default mode network for targeted neuromodulation,Jian Li,,20210624,80000,20210624,100000,poster1695,EuropeAsia,Poster,,poster1695EuropeAsia
1318,MELD Project: Predictors of lesion location and postsurgical seizure freedom in FCD,Konrad Wagstyl,,20210622,160000,20210622,170000,poster1318,AmericasEurope,Poster,,poster1318AmericasEurope
1318,MELD Project: Predictors of lesion location and postsurgical seizure freedom in FCD,Konrad Wagstyl,,20210622,0,20210622,10000,poster1318,AmericasAsia,Poster,,poster1318AmericasAsia
1318,MELD Project: Predictors of lesion location and postsurgical seizure freedom in FCD,Konrad Wagstyl,,20210624,80000,20210624,100000,poster1318,EuropeAsia,Poster,,poster1318EuropeAsia
1995,Microstructure Gradients Reflect Distributed and Integrative Functional Connectivity Patterns,Yezhou Wang,,20210625,160000,20210625,170000,poster1995,AmericasEurope,Poster,,poster1995AmericasEurope
1995,Microstructure Gradients Reflect Distributed and Integrative Functional Connectivity Patterns,Yezhou Wang,,20210622,0,20210622,10000,poster1995,AmericasAsia,Poster,,poster1995AmericasAsia
1995,Microstructure Gradients Reflect Distributed and Integrative Functional Connectivity Patterns,Yezhou Wang,,20210624,80000,20210624,100000,poster1995,EuropeAsia,Poster,,poster1995EuropeAsia
1504,Mining brain-wide gene expression data to identify imaging genomic modules via biclustering,Jingxuan Bao,,20210624,160000,20210624,170000,poster1504,AmericasEurope,Poster,,poster1504AmericasEurope
1504,Mining brain-wide gene expression data to identify imaging genomic modules via biclustering,Jingxuan Bao,,20210624,0,20210624,10000,poster1504,AmericasAsia,Poster,,poster1504AmericasAsia
1504,Mining brain-wide gene expression data to identify imaging genomic modules via biclustering,Jingxuan Bao,,20210622,80000,20210622,100000,poster1504,EuropeAsia,Poster,,poster1504EuropeAsia
1956,Modelling signal propagation through the human connectome at high spatiotemporal resolution,Caio Seguin,,20210621,160000,20210621,170000,poster1956,AmericasEurope,Poster,,poster1956AmericasEurope
1956,Modelling signal propagation through the human connectome at high spatiotemporal resolution,Caio Seguin,,20210626,0,20210626,10000,poster1956,AmericasAsia,Poster,,poster1956AmericasAsia
1956,Modelling signal propagation through the human connectome at high spatiotemporal resolution,Caio Seguin,,20210624,80000,20210624,100000,poster1956,EuropeAsia,Poster,,poster1956EuropeAsia
1412,Motor sequence learning and prefrontal stimulation modulate hippocampo-frontal multivoxel patterns,Mareike Gann,,20210621,160000,20210621,170000,poster1412,AmericasEurope,Poster,,poster1412AmericasEurope
1412,Motor sequence learning and prefrontal stimulation modulate hippocampo-frontal multivoxel patterns,Mareike Gann,,20210623,0,20210623,10000,poster1412,AmericasAsia,Poster,,poster1412AmericasAsia
1412,Motor sequence learning and prefrontal stimulation modulate hippocampo-frontal multivoxel patterns,Mareike Gann,,20210624,80000,20210624,100000,poster1412,EuropeAsia,Poster,,poster1412EuropeAsia
2087,MTE-NODDI made practical with learning-based acquisition and parameter-estimation acceleration,Ting Gong,,20210625,160000,20210625,170000,poster2087,AmericasEurope,Poster,,poster2087AmericasEurope
2087,MTE-NODDI made practical with learning-based acquisition and parameter-estimation acceleration,Ting Gong,,20210623,0,20210623,10000,poster2087,AmericasAsia,Poster,,poster2087AmericasAsia
2087,MTE-NODDI made practical with learning-based acquisition and parameter-estimation acceleration,Ting Gong,,20210624,80000,20210624,100000,poster2087,EuropeAsia,Poster,,poster2087EuropeAsia
1928,Multimodal analysis of autism related inter-individual variation of gray and white matter morphology,Ting Mei,,20210622,160000,20210622,170000,poster1928,AmericasEurope,Poster,,poster1928AmericasEurope
1928,Multimodal analysis of autism related inter-individual variation of gray and white matter morphology,Ting Mei,,20210622,0,20210622,10000,poster1928,AmericasAsia,Poster,,poster1928AmericasAsia
1928,Multimodal analysis of autism related inter-individual variation of gray and white matter morphology,Ting Mei,,20210624,80000,20210624,100000,poster1928,EuropeAsia,Poster,,poster1928EuropeAsia
2430,Multimodal evidence that pupillary responses are useful for examining aging in the locus coeruleus,Elizabeth Riley,,20210624,160000,20210624,170000,poster2430,AmericasEurope,Poster,,poster2430AmericasEurope
2430,Multimodal evidence that pupillary responses are useful for examining aging in the locus coeruleus,Elizabeth Riley,,20210624,0,20210624,10000,poster2430,AmericasAsia,Poster,,poster2430AmericasAsia
2430,Multimodal evidence that pupillary responses are useful for examining aging in the locus coeruleus,Elizabeth Riley,,20210622,80000,20210622,100000,poster2430,EuropeAsia,Poster,,poster2430EuropeAsia
2505,Multimodal neural correlates of childhood psychopathology,Valeria Kebets,,20210622,160000,20210622,170000,poster2505,AmericasEurope,Poster,,poster2505AmericasEurope
2505,Multimodal neural correlates of childhood psychopathology,Valeria Kebets,,20210622,0,20210622,10000,poster2505,AmericasAsia,Poster,,poster2505AmericasAsia
2505,Multimodal neural correlates of childhood psychopathology,Valeria Kebets,,20210624,80000,20210624,100000,poster2505,EuropeAsia,Poster,,poster2505EuropeAsia
2526,Multi-Site MRI Harmonization using Unified Generative Adversarial Networks,Mengting Liu,,20210624,160000,20210624,170000,poster2526,AmericasEurope,Poster,,poster2526AmericasEurope
2526,Multi-Site MRI Harmonization using Unified Generative Adversarial Networks,Mengting Liu,,20210626,0,20210626,10000,poster2526,AmericasAsia,Poster,,poster2526AmericasAsia
2526,Multi-Site MRI Harmonization using Unified Generative Adversarial Networks,Mengting Liu,,20210622,80000,20210622,100000,poster2526,EuropeAsia,Poster,,poster2526EuropeAsia
1110,Myelination Measurement in Early Brain Development with Quantitative MRI,Masaya Misaki,,20210624,160000,20210624,170000,poster1110,AmericasEurope,Poster,,poster1110AmericasEurope
1110,Myelination Measurement in Early Brain Development with Quantitative MRI,Masaya Misaki,,20210624,0,20210624,10000,poster1110,AmericasAsia,Poster,,poster1110AmericasAsia
1110,Myelination Measurement in Early Brain Development with Quantitative MRI,Masaya Misaki,,20210622,80000,20210622,100000,poster1110,EuropeAsia,Poster,,poster1110EuropeAsia
2382,Network Modeling of Sex Differences in Brain Integrity and Metabolic Health,Janelle Foret,,20210625,160000,20210625,170000,poster2382,AmericasEurope,Poster,,poster2382AmericasEurope
2382,Network Modeling of Sex Differences in Brain Integrity and Metabolic Health,Janelle Foret,,20210625,0,20210625,10000,poster2382,AmericasAsia,Poster,,poster2382AmericasAsia
2382,Network Modeling of Sex Differences in Brain Integrity and Metabolic Health,Janelle Foret,,20210622,80000,20210622,100000,poster2382,EuropeAsia,Poster,,poster2382EuropeAsia
2106,Neural Variability of Crosstalk Effects in Dual-Tasking and Its Modulation by Age,Lya Paas Oliveros,,20210622,160000,20210622,170000,poster2106,AmericasEurope,Poster,,poster2106AmericasEurope
2106,Neural Variability of Crosstalk Effects in Dual-Tasking and Its Modulation by Age,Lya Paas Oliveros,,20210626,0,20210626,10000,poster2106,AmericasAsia,Poster,,poster2106AmericasAsia
2106,Neural Variability of Crosstalk Effects in Dual-Tasking and Its Modulation by Age,Lya Paas Oliveros,,20210624,80000,20210624,100000,poster2106,EuropeAsia,Poster,,poster2106EuropeAsia
2151,Neuroimaging-based Prediction of Cognition and Behavior for Mental Disorders and Health,Rongtao Jiang,,20210622,160000,20210622,170000,poster2151,AmericasEurope,Poster,,poster2151AmericasEurope
2151,Neuroimaging-based Prediction of Cognition and Behavior for Mental Disorders and Health,Rongtao Jiang,,20210626,0,20210626,10000,poster2151,AmericasAsia,Poster,,poster2151AmericasAsia
2151,Neuroimaging-based Prediction of Cognition and Behavior for Mental Disorders and Health,Rongtao Jiang,,20210624,80000,20210624,100000,poster2151,EuropeAsia,Poster,,poster2151EuropeAsia
2550,Neuromod Movie10: Standardized processing of large-scale cardiorespiratory signals in MR environment,François Lespinasse,,20210623,160000,20210623,170000,poster2550,AmericasEurope,Poster,,poster2550AmericasEurope
2550,Neuromod Movie10: Standardized processing of large-scale cardiorespiratory signals in MR environment,François Lespinasse,,20210625,0,20210625,10000,poster2550,AmericasAsia,Poster,,poster2550AmericasAsia
2550,Neuromod Movie10: Standardized processing of large-scale cardiorespiratory signals in MR environment,François Lespinasse,,20210622,80000,20210622,100000,poster2550,EuropeAsia,Poster,,poster2550EuropeAsia
2452,NiBabies: A robust preprocessing workflow tailored for neonate and infant MRI,Mathias Goncalves,,20210623,160000,20210623,170000,poster2452,AmericasEurope,Poster,,poster2452AmericasEurope
2452,NiBabies: A robust preprocessing workflow tailored for neonate and infant MRI,Mathias Goncalves,,20210625,0,20210625,10000,poster2452,AmericasAsia,Poster,,poster2452AmericasAsia
2452,NiBabies: A robust preprocessing workflow tailored for neonate and infant MRI,Mathias Goncalves,,20210622,80000,20210622,100000,poster2452,EuropeAsia,Poster,,poster2452EuropeAsia
2145,Olfactory tract diffusion measures of early Parkinsonâ€™s disease patients using 7T MRI,Margot Heijmans,,20210621,160000,20210621,170000,poster2145,AmericasEurope,Poster,,poster2145AmericasEurope
2145,Olfactory tract diffusion measures of early Parkinsonâ€™s disease patients using 7T MRI,Margot Heijmans,,20210623,0,20210623,10000,poster2145,AmericasAsia,Poster,,poster2145AmericasAsia
