Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Benjamin Tendler,,20210625,0,20210625,10000,poster1141,AmericasAsia,Poster,,poster1141AmericasAsia
1141,"The Digital Brain Bank, an open access data discovery & release platform for post-mortem datasets",Benjamin Tendler,,20210622,80000,20210622,100000,poster1141,EuropeAsia,Poster,,poster1141EuropeAsia
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210623,160000,20210623,170000,poster1602,AmericasEurope,Poster,,poster1602AmericasEurope
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210625,0,20210625,10000,poster1602,AmericasAsia,Poster,,poster1602AmericasAsia
1602,A new superficial white matter connectivity atlas of the chimpanzee brain,Maëlig Chauvel,,20210622,80000,20210622,100000,poster1602,EuropeAsia,Poster,,poster1602EuropeAsia
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210623,160000,20210623,170000,poster1238,AmericasEurope,Poster,,poster1238AmericasEurope
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210625,0,20210625,10000,poster1238,AmericasAsia,Poster,,poster1238AmericasAsia
1238,A new tripartite landmark in human posterior cingulate cortex,Ethan Willbrand,,20210622,80000,20210622,100000,poster1238,EuropeAsia,Poster,,poster1238EuropeAsia
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210624,160000,20210624,170000,poster2527,AmericasEurope,Poster,,poster2527AmericasEurope
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210626,0,20210626,10000,poster2527,AmericasAsia,Poster,,poster2527AmericasAsia
2527,A Validation Study of the Bayesian GLM using the Human Connectome Project Data,Daniel Spencer,,20210622,80000,20210622,100000,poster2527,EuropeAsia,Poster,,poster2527EuropeAsia
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210623,160000,20210623,170000,poster2271,AmericasEurope,Poster,,poster2271AmericasEurope
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210625,0,20210625,10000,poster2271,AmericasAsia,Poster,,poster2271AmericasAsia
2271,Abagen: An open-source toolbox for working with the Allen Human Brain Atlas,Ross Markello,,20210622,80000,20210622,100000,poster2271,EuropeAsia,Poster,,poster2271EuropeAsia
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210624,160000,20210624,170000,poster1177,AmericasEurope,Poster,,poster1177AmericasEurope
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210624,0,20210624,10000,poster1177,AmericasAsia,Poster,,poster1177AmericasAsia
1177,Age-related cortical perfusion changes and their impact on assessing functional connectivity,Roy Haast,,20210622,80000,20210622,100000,poster1177,EuropeAsia,Poster,,poster1177EuropeAsia
1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,Alicia Northall,,20210624,160000,20210624,170000,poster1390,AmericasEurope,Poster,,poster1390AmericasEurope
1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,Alicia Northall,,20210624,0,20210624,10000,poster1390,AmericasAsia,Poster,,poster1390AmericasAsia
1390,Aging Myeloarchitecture of Large-Scale Body-Part Representations in M1 at 7T-MRI,Alicia Northall,,20210622,80000,20210622,100000,poster1390,EuropeAsia,Poster,,poster1390EuropeAsia
1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,Azeez Adebimpe,,20210621,160000,20210621,170000,poster1814,AmericasEurope,Poster,,poster1814AmericasEurope
1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,Azeez Adebimpe,,20210623,0,20210623,10000,poster1814,AmericasAsia,Poster,,poster1814AmericasAsia
1814,ASLPrep: A Generalizable Workflow for Processing of Arterial Spin Labeled MRI,Azeez Adebimpe,,20210624,80000,20210624,100000,poster1814,EuropeAsia,Poster,,poster1814EuropeAsia
1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,Clara Moreau,,20210623,160000,20210623,170000,poster1610,AmericasEurope,Poster,,poster1610AmericasEurope
1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,Clara Moreau,,20210626,0,20210626,10000,poster1610,AmericasAsia,Poster,,poster1610AmericasAsia
1610,Atlas of functional connectivity relationships across genetic variants and psychiatric conditions,Clara Moreau,,20210622,80000,20210622,100000,poster1610,EuropeAsia,Poster,,poster1610EuropeAsia
1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,Christopher Markiewicz,,20210624,160000,20210624,170000,poster1207,AmericasEurope,Poster,,poster1207AmericasEurope
1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,Christopher Markiewicz,,20210626,0,20210626,10000,poster1207,AmericasAsia,Poster,,poster1207AmericasAsia
1207,BIDS Statistical Models - An implementation-independent representation of General Linear Models,Christopher Markiewicz,,20210622,80000,20210622,100000,poster1207,EuropeAsia,Poster,,poster1207EuropeAsia
1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,Jingxuan Gong,,20210625,160000,20210625,170000,poster1495,AmericasEurope,Poster,,poster1495AmericasEurope
1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,Jingxuan Gong,,20210625,0,20210625,10000,poster1495,AmericasAsia,Poster,,poster1495AmericasAsia
1495,Comparing approaches for estimating regional hemodynamic timing differences in BOLD-fMRI data,Jingxuan Gong,,20210622,80000,20210622,100000,poster1495,EuropeAsia,Poster,,poster1495EuropeAsia
1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,Bingyang Cai,,20210625,160000,20210625,170000,poster1846,AmericasEurope,Poster,,poster1846AmericasEurope
1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,Bingyang Cai,,20210625,0,20210625,10000,poster1846,AmericasAsia,Poster,,poster1846AmericasAsia
1846,Correlations between cerebral CSF flow and spatiotemporal resting state BOLD signal fluctuations,Bingyang Cai,,20210622,80000,20210622,100000,poster1846,EuropeAsia,Poster,,poster1846EuropeAsia
1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,Farnaz Zamani Esfahlani,,20210625,160000,20210625,170000,poster1233,AmericasEurope,Poster,,poster1233AmericasEurope
1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,Farnaz Zamani Esfahlani,,20210622,0,20210622,10000,poster1233,AmericasAsia,Poster,,poster1233AmericasAsia
1233,Edge-centric analysis of time-varying functional brain networks with applications in autism spectrum,Farnaz Zamani Esfahlani,,20210624,80000,20210624,100000,poster1233,EuropeAsia,Poster,,poster1233EuropeAsia
2303,EEG responses to sound omissions are modulated by predictability,Ruxandra Tivadar,,20210625,160000,20210625,170000,poster2303,AmericasEurope,Poster,,poster2303AmericasEurope
2303,EEG responses to sound omissions are modulated by predictability,Ruxandra Tivadar,,20210624,0,20210624,10000,poster2303,AmericasAsia,Poster,,poster2303AmericasAsia
2303,EEG responses to sound omissions are modulated by predictability,Ruxandra Tivadar,,20210622,80000,20210622,100000,poster2303,EuropeAsia,Poster,,poster2303EuropeAsia
1330,Efficient mapping of cortical finger representations in the human brain with TMS,Ole Numssen,,20210621,160000,20210621,170000,poster1330,AmericasEurope,Poster,,poster1330AmericasEurope
1330,Efficient mapping of cortical finger representations in the human brain with TMS,Ole Numssen,,20210626,0,20210626,10000,poster1330,AmericasAsia,Poster,,poster1330AmericasAsia
1330,Efficient mapping of cortical finger representations in the human brain with TMS,Ole Numssen,,20210624,80000,20210624,100000,poster1330,EuropeAsia,Poster,,poster1330EuropeAsia
1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,Gabriel Ramos Llorden,,20210625,160000,20210625,170000,poster1961,AmericasEurope,Poster,,poster1961AmericasEurope
1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,Gabriel Ramos Llorden,,20210623,0,20210623,10000,poster1961,AmericasAsia,Poster,,poster1961AmericasAsia
1961,Ex-vivo whole human brain diffusion MRI at 550 micron resolution with a 3T Connectom  scanner,Gabriel Ramos Llorden,,20210624,80000,20210624,100000,poster1961,EuropeAsia,Poster,,poster1961EuropeAsia
1371,Functional Connectivity Individualization in Early Childhood,Kirk Graff,,20210624,160000,20210624,170000,poster1371,AmericasEurope,Poster,,poster1371AmericasEurope
1371,Functional Connectivity Individualization in Early Childhood,Kirk Graff,,20210624,0,20210624,10000,poster1371,AmericasAsia,Poster,,poster1371AmericasAsia
1371,Functional Connectivity Individualization in Early Childhood,Kirk Graff,,20210622,80000,20210622,100000,poster1371,EuropeAsia,Poster,,poster1371EuropeAsia
2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,Emily Olafson,,20210625,160000,20210625,170000,poster2253,AmericasEurope,Poster,,poster2253AmericasEurope
2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,Emily Olafson,,20210622,0,20210622,10000,poster2253,AmericasAsia,Poster,,poster2253AmericasAsia
2253,Functional connectome reorganization after pontine stroke is associated with better motor outcomes,Emily Olafson,,20210624,80000,20210624,100000,poster2253,EuropeAsia,Poster,,poster2253EuropeAsia
2654,Heritability parcellation of cortical thickness in 10-year-old children,Bader CHAARANI,,20210625,160000,20210625,170000,poster2654,AmericasEurope,Poster,,poster2654AmericasEurope
2654,Heritability parcellation of cortical thickness in 10-year-old children,Bader CHAARANI,,20210623,0,20210623,10000,poster2654,AmericasAsia,Poster,,poster2654AmericasAsia
2654,Heritability parcellation of cortical thickness in 10-year-old children,Bader CHAARANI,,20210624,80000,20210624,100000,poster2654,EuropeAsia,Poster,,poster2654EuropeAsia
1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,Zijin Gu,,20210625,160000,20210625,170000,poster1884,AmericasEurope,Poster,,poster1884AmericasEurope
1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,Zijin Gu,,20210624,0,20210624,10000,poster1884,AmericasAsia,Poster,,poster1884AmericasAsia
1884,Identification and synthesis of preferred images for individual regions in the human visual cortex,Zijin Gu,,20210622,80000,20210622,100000,poster1884,EuropeAsia,Poster,,poster1884EuropeAsia
1850,Imaging-transcriptomics model of intracortical development during youth,Casey Paquola,,20210624,160000,20210624,170000,poster1850,AmericasEurope,Poster,,poster1850AmericasEurope
