Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
NetNeuro course I: interactive session,NetNeuro team,,20210531,200000,20210531,210000,netneuro,AmericasEurope,Roundtables,7520d65c-bd82-11eb-975c-1e00b921e125,
MRS course: welcome AmericasAsia,Sridar Narayanan,,20210601,233000,20210601,234000,mrs,AmericasAsia,Announcements,752126de-bd82-11eb-9490-1e00b921e125,
Introduction to MRS and editing,Robin de Graaf,,20210601,234000,20210602,812,mrs,AmericasAsia,CourseVideo,7521772e-bd82-11eb-81c2-1e00b921e125,
"Limitations and considerations for data acquisition, analysis, and quantification",Ashley Harris,,20210602,812,20210602,3610,mrs,AmericasAsia,CourseVideo,7521c762-bd82-11eb-aabd-1e00b921e125,
MRS in the scope of Open Science,Georg Oeltzschner,,20210602,3610,20210602,10119,mrs,AmericasAsia,CourseVideo,752217e2-bd82-11eb-ab3d-1e00b921e125,
The neurochemistry of GABA and its relation to brain function,Caroline Rae,,20210602,12000,20210602,14404,mrs,AmericasAsia,CourseVideo,752267d8-bd82-11eb-9250-1e00b921e125,
"Changes in GABA, neuroplasticity and learning",Charlotte Stagg,,20210602,14404,20210602,21457,mrs,AmericasAsia,CourseVideo,7522b7ec-bd82-11eb-a76e-1e00b921e125,
"GABA, pharmacology, and psychiatric and neurological disorders",Nicolaas Puts,,20210602,21457,20210602,24012,mrs,AmericasAsia,CourseVideo,752308b4-bd82-11eb-81d0-1e00b921e125,
MRS course: interactive session,Neuroanatomy team,,20210602,30000,20210602,40000,mrs,AmericasAsia,Roundtables,75235906-bd82-11eb-a91f-1e00b921e125,
MRS course: welcome AmericasEurope,Sridar Narayanan,,20210601,153000,20210601,154000,mrs,AmericasEurope,Announcements,7523a99a-bd82-11eb-ad5b-1e00b921e125,
Introduction to MRS and editing,Robin de Graaf,,20210601,154000,20210601,160812,mrs,AmericasEurope,CourseVideo,7523f990-bd82-11eb-b434-1e00b921e125,
"Limitations and considerations for data acquisition, analysis, and quantification",Ashley Harris,,20210601,160812,20210601,163610,mrs,AmericasEurope,CourseVideo,75244986-bd82-11eb-8748-1e00b921e125,
MRS in the scope of Open Science,Georg Oeltzschner,,20210601,163610,20210601,170119,mrs,AmericasEurope,CourseVideo,7524994a-bd82-11eb-b84f-1e00b921e125,
The neurochemistry of GABA and its relation to brain function,Caroline Rae,,20210601,172000,20210601,174404,mrs,AmericasEurope,CourseVideo,7524e8b4-bd82-11eb-bc69-1e00b921e125,
