location,name,description,start,duration,eventId
posterhall,Disorders of the Nervous System - Neurodevelopmental/Early Life,Posters,1624370400,60,O4QX9Y1ftq397lP3nOqP
posterhall,Learning and Memory,Posters,1624284000,60,GQLjAUDoqOPHRbMTLsma
posterhall,Neuroinformatics and Data Sharing,Posters,1624456800,60,EgDx7OyPQbmgHusOAFCf
posterhall,Disorders of the Nervous System - Psychiatric,Posters,1624456800,60,NwOXHzdEAD27veL8Vuym
posterhall,Neuroanatomy,Posters,1624456800,60,LyEteHyPIafae4Onq0xs
posterhall,Language,Posters,1624543200,60,o3DxK0jOaxDHHN39rAOk
posterhall,Modeling and Analysis - Activation,Posters,1624543200,60,fecLfnv5BMqcVtHPHSZH
posterhall,Lifespan Development,Posters,1624543200,60,k9w5oJNb7xfhBvqvbuKT
posterhall,Genetics,Posters,1624543200,60,qCM7zRwJowmea7f6Ypx0
posterhall,"Perception, Attention and Motor Behavior",Posters,1624629600,60,EDvnlBShEeDrMcRJ3jw5
posterhall,Modeling and Analysis - Connectivity,Posters,1624629600,60,aVsD88c6zFB7jaH1JNqS
posterhall,"Physiology, Metabolism and Neurotransmission",Posters,1624629600,60,hwnLLKpGHzLdOpaIt2oi
posterhall,Novel Imaging Acquisition Methods,Posters,1624629600,60,7KmQ0sb2MzO1bD4vRgix
posterhall,Language,Posters,1624312800,60,cpFzyqC8ttroPjrFP806
posterhall,"Sleep, Consciousness, Pain",Posters,1624312800,60,OXtvvUvjFs6qheOdTuq9
posterhall,Modeling and Analysis - Connectivity,Posters,1624312800,60,n2ADQzQFa9NAlntkVCeJ
posterhall,Disorders of the Nervous System - Neurodevelopmental/Early Life,Posters,1624312800,60,soKLqyW3YlnIbvq0CSPk
posterhall,Learning and Memory,Posters,1624399200,60,b1f3yxSDMZxcWSOvmbKf
posterhall,Software Demonstrations,Posters,1624399200,60,GTjj6kHgTUGC4Mnxpc04
posterhall,Disorders of the Nervous System - Neurodegenerative/Late Life,Posters,1624399200,60,C3nvjNBoGDfZVGtohCY4
posterhall,Novel Imaging Acquisition Methods,Posters,1624399200,60,4QuD2pMLw7eUrT467dVz
posterhall,"Perception, Attention and Motor Behavior",Posters,1624485600,60,5KP19bwpy6lUrlL6MJ4Q
posterhall,Modeling and Analysis - Multivariate Approaches,Posters,1624485600,60,lf8VrUYatz16FnT7ScNv
posterhall,Lifespan Development,Posters,1624485600,60,5jSzEUUIDk5osDY9hzku
posterhall,Genetics,Posters,1624485600,60,GbEHAYtq5W2pWPgU1y58
posterhall,"Social Neuroscience, Emotion and Motivation",Posters,1624572000,60,5t9UOOE5I90NKE3KmMef
posterhall,Neuroinformatics and Data Sharing,Posters,1624572000,60,XGntvjvxao3EyYjiGYTl
posterhall,"Physiology, Metabolism and Neurotransmission",Posters,1624572000,60,loTTwLZTzeSAlCGwyyUu
posterhall,Neuroanatomy,Posters,1624572000,60,JzCuL8JMNf1qTJcREBWs
posterhall,Higher Cognitive Functions,Posters,1624658400,60,6bTJHwZ3Q3XPINHtP4ev
posterhall,Modeling and Analysis - Activation,Posters,1624658400,60,jfRLfSKcQXd1eXNLO34R
posterhall,Disorders of the Nervous System - Psychiatric,Posters,1624658400,60,cG8otkVnoqHayt1tyeIG
posterhall,Brain Stimulation,Posters,1624658400,60,A0Pa8PXk6bLZG4hv2akT
posterhall,"Social Neuroscience, Emotion and Motivation",Posters,1624341600,120,sS49KFBLISdpfKy21W7B
posterhall,"Perception, Attention and Motor Behavior",Posters,1624341600,120,tzY8snrNIedwz6u8evV5
